IB Symbol,Product Description,Symbol,Currency
ACC,ACC LIMITED,ACC,INR
ADANIENT,ADANI ENTERPRISES LTD,ADANIENT,INR
ADANIPORT,ADANI PORTS AND SPECIAL ECON,ADANIPORTS,INR
AMARAJABA,AMARA RAJA BATTERIES LTD,AMARAJABAT,INR
AMBUJACEM,AMBUJA CEMENTS LIMITED,AMBUJACEM,INR
APOLLOHOS,APOLLO HOSPITALS ENTERPRISE,APOLLOHOSP,INR
APOLLOTYR,APOLLO TYRES LIMITED,APOLLOTYRE,INR
ASHOKLEY,ASHOK LEYLAND LIMITED,ASHOKLEY,INR
ASIANPAIN,ASIAN PAINTS LTD,ASIANPAINT,INR
AUROPHARM,AUROBINDO PHARMA LTD,AUROPHARMA,INR
AXISBANK,AXIS BANK LTD,AXISBANK,INR
BAJAJ-AUT,BAJAJ AUTO LIMITED,BAJAJ-AUTO,INR
BAJAJFINS,BAJAJ FINSERV LTD,BAJAJFINSV,INR
BAJFINANC,BAJAJ FINANCE LTD,BAJFINANCE,INR
BALKRISIN,BALKRISHNA INDUSTRIES LTD,BALKRISIND,INR
BANDHANBN,BANDHAN BANK LTD,BANDHANBNK,INR
BANKBAROD,BANK OF BARODA,BANKBARODA,INR
BATAINDIA,BATA INDIA LTD,BATAINDIA,INR
BEL,BHARAT ELECTRONICS LTD,BEL,INR
BERGEPAIN,BERGER PAINTS INDIA LTD,BERGEPAINT,INR
BHARATFOR,BHARAT FORGE LIMITED,BHARATFORG,INR
BHARTIART,BHARTI AIRTEL LIMITED,BHARTIARTL,INR
BHEL,BHARAT HEAVY ELECTRICALS,BHEL,INR
BIOCON,BIOCON LTD,BIOCON,INR
BOSCHLTD,BOSCH LIMITED,BOSCHLTD,INR
BPCL,BHARAT PETROLEUM CORP LTD,BPCL,INR
BRITANNIA,BRITANNIA INDUSTRIES LTD,BRITANNIA,INR
CADILAHC,CADILA HEALTHCARE LTD,CADILAHC,INR
CANBK,CANARA BANK,CANBK,INR
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND,CHOLAFIN,INR
CIPLA,CIPLA LTD,CIPLA,INR
COALINDIA,COAL INDIA LTD,COALINDIA,INR
COFORGE,COFORGE LTD,COFORGE,INR
COLPAL,COLGATE PALMOLIVE (INDIA),COLPAL,INR
CONCOR,CONTAINER CORP OF INDIA LTD,CONCOR,INR
CUMMINSIN,CUMMINS INDIA LTD,CUMMINSIND,INR
DABUR,DABUR INDIA LIMITED,DABUR,INR
DIVISLAB,DIVI'S LABORATORIES LTD,DIVISLAB,INR
DLF,DLF LIMITED,DLF,INR
DRREDDY,DR. REDDY'S LABORATORIES,DRREDDY,INR
EICHERMOT,EICHER MOTORS LTD,EICHERMOT,INR
ESCORTS,ESCORTS LTD,ESCORTS,INR
EXIDEIND,EXIDE INDUSTRIES LTD,EXIDEIND,INR
FEDERALBN,FEDERAL BANK LTD,FEDERALBNK,INR
GAIL,GAIL INDIA LTD,GAIL,INR
GLENMARK,GLENMARK PHARMACEUTICALS LTD,GLENMARK,INR
GMRINFRA,GMR INFRASTRUCTURE LTD,GMRINFRA,INR
GODREJCP,GODREJ CONSUMER PRODUCTS LTD,GODREJCP,INR
GODREJPRO,GODREJ PROPERTIES LTD,GODREJPROP,INR
GRASIM,GRASIM INDUSTRIES LTD,GRASIM,INR
HAVELLS,HAVELLS INDIA LTD,HAVELLS,INR
HCLTECH,HCL TECHNOLOGIES LTD,HCLTECH,INR
HDFC,HOUSING DEVELOPMENT FINANCE,HDFC,INR
HDFCBANK,HDFC BANK LIMITED,HDFCBANK,INR
HDFCLIFE,HDFC LIFE INSURANCE CO LTD,HDFCLIFE,INR
HEROMOTOC,HERO MOTOCORP LIMITED,HEROMOTOCO,INR
HINDALCO,HINDALCO INDUSTRIES LIMITED,HINDALCO,INR
HINDPETRO,HINDUSTAN PETROLEUM CORP,HINDPETRO,INR
HINDUNILV,HINDUSTAN UNILEVER LTD,HINDUNILVR,INR
IBULHSGFI,INDIABULLS HOUSING FINANCE L,IBULHSGFIN,INR
ICICIBANK,ICICI BANK LTD,ICICIBANK,INR
ICICIPRUL,ICICI PRUDENTIAL LIFE INSURA,ICICIPRULI,INR
IDEA,VODAFONE IDEA LTD,IDEA,INR
IDFCFIRST,IDFC FIRST BANK LTD,IDFCFIRSTB,INR
IGL,INDRAPRASTHA GAS LTD,IGL,INR
INDIGO,INTERGLOBE AVIATION LTD,INDIGO,INR
INDUSINDB,INDUSIND BANK LIMITED,INDUSINDBK,INR
INFRATEL,BHARTI INFRATEL LTD,INFRATEL,INR
INFY,INFOSYS LTD,INFY,INR
IOC,INDIAN OIL CORPORATION LTD,IOC,INR
ITC,ITC LTD,ITC,INR
JINDALSTE,JINDAL STEEL & POWER LTD,JINDALSTEL,INR
JSWSTEEL,JSW STEEL LTD,JSWSTEEL,INR
