IB Symbol,Product Description,Symbol,Currency,Contract ID
ACC,ACC LIMITED,ACC,INR,44652144
ADANIENT,ADANI ENTERPRISES LTD,ADANIENT,INR,56986798
ADANIPORT,ADANI PORTS AND SPECIAL ECON,ADANIPORTS,INR,79403918
AMARAJABA,AMARA RAJA BATTERIES LTD,AMARAJABAT,INR,113744943
AMBUJACEM,AMBUJA CEMENTS LIMITED,AMBUJACEM,INR,44652129
APOLLOHOS,APOLLO HOSPITALS ENTERPRISE,APOLLOHOSP,INR,78607402
APOLLOTYR,APOLLO TYRES LIMITED,APOLLOTYRE,INR,56988336
ASHOKLEY,ASHOK LEYLAND LIMITED,ASHOKLEY,INR,56988221
ASIANPAIN,ASIAN PAINTS LTD,ASIANPAINT,INR,132214022
AUROPHARM,AUROBINDO PHARMA LTD,AUROPHARMA,INR,83937139
AXISBANK,AXIS BANK LTD,AXISBANK,INR,162089869
BAJAJ-AUT,BAJAJ AUTO LIMITED,BAJAJ-AUTO,INR,56987980
BAJAJFINS,BAJAJ FINSERV LTD,BAJAJFINSV,INR,56987991
BAJFINANC,BAJAJ FINANCE LTD,BAJFINANCE,INR,247227232
BALKRISIN,BALKRISHNA INDUSTRIES LTD,BALKRISIND,INR,81899870
BANDHANBN,BANDHAN BANK LTD,BANDHANBNK,INR,312182039
BANKBAROD,BANK OF BARODA,BANKBARODA,INR,180222138
BATAINDIA,BATA INDIA LTD,BATAINDIA,INR,208706811
BEL,BHARAT ELECTRONICS LTD,BEL,INR,269577540
BERGEPAIN,BERGER PAINTS INDIA LTD,BERGEPAINT,INR,179252695
BHARATFOR,BHARAT FORGE LIMITED,BHARATFORG,INR,56987929
BHARTIART,BHARTI AIRTEL LIMITED,BHARTIARTL,INR,64769335
BHEL,BHARAT HEAVY ELECTRICALS,BHEL,INR,95441327
BIOCON,BIOCON LTD,BIOCON,INR,56987974
BOSCHLTD,BOSCH LIMITED,BOSCHLTD,INR,56988066
BPCL,BHARAT PETROLEUM CORP LTD,BPCL,INR,44652160
BRITANNIA,BRITANNIA INDUSTRIES LTD,BRITANNIA,INR,343576985
CADILAHC,CADILA HEALTHCARE LTD,CADILAHC,INR,208509801
CANBK,CANARA BANK,CANBK,INR,56985302
CHOLAFIN,CHOLAMANDALAM INVESTMENT AND,CHOLAFIN,INR,370754270
CIPLA,CIPLA LTD,CIPLA,INR,44652139
COALINDIA,COAL INDIA LTD,COALINDIA,INR,80626626
COFORGE,COFORGE LTD,COFORGE,INR,56984634
COLPAL,COLGATE PALMOLIVE (INDIA),COLPAL,INR,56985419
