IB Symbol,Product Description,Symbol,Currency,Contract ID
IOC,INDIAN OIL CORPORATION LTD,IOC,INR,56985747
POWERGRID,POWER GRID CORP. OF INDIA LTD.,POWERGRID,INR,50486118
ONGC,OIL & NATURAL GAS CORP LTD,ONGC,INR,83845926
BAJFINANC,BAJAJ FINANCE LTD,BAJFINANCE,INR,247227232
HDFCBANK,HDFC BANK LIMITED,HDFCBANK,INR,382750910
BHARTIART,BHARTI AIRTEL LIMITED,BHARTIARTL,INR,64769335
TATASTEEL,TATA STEEL LTD,TATASTEEL,INR,44652069
AXISBANK,AXIS BANK LTD,AXISBANK,INR,162089869
INDUSINDB,INDUSIND BANK LIMITED,INDUSINDBK,INR,56985651
SBIN,STATE BANK OF INDIA,SBIN,INR,173418084
ULTRACEMC,ULTRATECH CEMENT LTD,ULTRACEMCO,INR,56983383
SUNPHARMA,SUN PHARMACEUTICAL INDUS,SUNPHARMA,INR,81351036
RELIANCE,RELIANCE INDUSTRIES LIMITED,RELIANCE,INR,44652000
ADANIPORT,ADANI PORTS AND SPECIAL ECON,ADANIPORTS,INR,79403918
MARUTI,MARUTI SUZUKI INDIA LTD,MARUTI,INR,44652108
,,,,
