Date,Open,High,Low,Close,Volume
2021-03-17 09:15:00,739.0,739.0,728.75,730.8,23075
2021-03-17 09:20:00,730.75,734.6,730.55,732.5,21304
2021-03-17 09:25:00,732.9,732.9,730.0,732.2,12500
2021-03-17 09:30:00,732.25,734.5,732.0,733.7,23844
2021-03-17 09:35:00,733.65,733.7,731.6,732.0,14447
2021-03-17 09:40:00,732.1,732.1,730.5,731.05,12998
2021-03-17 09:45:00,731.0,731.4,729.95,730.1,15432
2021-03-17 09:50:00,729.7,731.25,729.3,730.75,9718
2021-03-17 09:55:00,730.75,731.5,730.0,730.65,11711
2021-03-17 10:00:00,730.55,731.45,730.0,731.25,12857
2021-03-17 10:05:00,731.3,733.5,731.0,733.05,11315
2021-03-17 10:10:00,733.05,733.3,730.0,730.65,14644
2021-03-17 10:15:00,730.6,731.35,729.4,731.0,11931
2021-03-17 10:20:00,731.2,731.5,730.6,730.85,8123
2021-03-17 10:25:00,730.95,732.3,730.35,732.05,9649
2021-03-17 10:30:00,732.0,733.25,731.5,733.0,11929
2021-03-17 10:35:00,732.95,735.35,732.4,735.1,21598
2021-03-17 10:40:00,735.35,735.35,733.2,733.65,13670
2021-03-17 10:45:00,733.65,734.0,732.15,733.3,10814
2021-03-17 10:50:00,733.3,733.95,732.9,733.7,8927
2021-03-17 10:55:00,733.9,734.0,732.25,733.4,14703
2021-03-17 11:00:00,733.2,733.6,732.25,732.65,10892
2021-03-17 11:05:00,732.65,732.65,731.6,732.15,12252
2021-03-17 11:10:00,732.15,733.65,731.85,733.2,12303
2021-03-17 11:15:00,733.3,734.5,732.95,734.0,13272
2021-03-17 11:20:00,733.95,736.4,733.8,735.3,17628
2021-03-17 11:25:00,735.3,739.45,735.3,739.35,20654
2021-03-17 11:30:00,739.35,742.0,739.0,739.05,21825
2021-03-17 11:35:00,738.85,738.85,737.3,737.95,22495
2021-03-17 11:40:00,737.9,738.75,737.25,738.55,13109
2021-03-17 11:45:00,738.55,739.95,738.1,739.5,16504
2021-03-17 11:50:00,739.5,739.5,737.3,737.45,15471
2021-03-17 11:55:00,737.35,738.25,736.3,736.8,15207
2021-03-17 12:00:00,736.8,738.4,736.35,736.9,19578
2021-03-17 12:05:00,736.9,737.0,735.2,736.0,16315
2021-03-17 12:10:00,735.8,737.0,735.5,736.75,15060
2021-03-17 12:15:00,736.75,738.5,736.0,736.7,15138
2021-03-17 12:20:00,736.6,737.55,735.6,736.85,14993
