Date,Open,High,Low,Close,Volume
2021-03-17 09:15:00,528.4,531.0,528.35,528.7,21522
2021-03-17 09:20:00,528.9,529.5,528.0,528.75,14904
2021-03-17 09:25:00,528.75,529.0,526.8,526.9,18985
2021-03-17 09:30:00,527.1,528.15,526.5,526.85,18208
2021-03-17 09:35:00,526.85,527.4,525.55,525.55,17252
2021-03-17 09:40:00,525.5,526.5,525.05,525.8,10648
2021-03-17 09:45:00,525.95,526.45,525.0,525.1,14622
2021-03-17 09:50:00,525.1,525.7,524.0,524.2,11681
2021-03-17 09:55:00,524.1,524.4,523.05,524.05,13158
2021-03-17 10:00:00,524.05,524.25,523.5,523.9,11254
2021-03-17 10:05:00,523.8,524.45,523.1,524.2,15710
2021-03-17 10:10:00,524.25,524.35,521.5,522.0,29552
2021-03-17 10:15:00,522.35,522.9,521.1,522.0,19492
2021-03-17 10:20:00,522.15,523.0,522.0,522.8,9681
2021-03-17 10:25:00,522.75,523.5,522.35,523.3,13530
2021-03-17 10:30:00,523.0,523.7,522.5,522.75,10843
2021-03-17 10:35:00,522.8,523.3,522.55,523.3,8844
2021-03-17 10:40:00,523.2,523.5,522.6,522.65,10753
2021-03-17 10:45:00,522.85,522.85,521.5,521.85,18802
2021-03-17 10:50:00,522.0,522.15,521.75,521.85,7252
2021-03-17 10:55:00,521.9,522.15,520.5,521.0,10790
2021-03-17 11:00:00,521.0,521.2,520.15,520.5,12977
2021-03-17 11:05:00,520.55,521.0,520.5,520.8,11363
2021-03-17 11:10:00,520.85,522.35,520.8,521.9,13738
2021-03-17 11:15:00,521.9,522.7,521.8,522.1,14164
2021-03-17 11:20:00,522.2,523.2,522.2,522.65,13989
2021-03-17 11:25:00,522.65,523.9,522.6,523.6,16316
2021-03-17 11:30:00,523.6,524.25,522.85,523.15,20350
2021-03-17 11:35:00,523.1,523.25,522.5,522.65,8653
2021-03-17 11:40:00,522.65,523.0,522.3,522.85,6317
2021-03-17 11:45:00,523.0,523.55,522.65,522.65,10751
2021-03-17 11:50:00,522.7,522.7,522.2,522.2,9520
2021-03-17 11:55:00,522.15,523.05,522.0,522.0,14751
2021-03-17 12:00:00,522.05,522.5,522.0,522.1,9660
2021-03-17 12:05:00,522.1,522.3,521.5,521.6,9705
2021-03-17 12:10:00,521.8,522.3,521.2,521.9,9987
2021-03-17 12:15:00,522.0,522.8,521.4,521.7,9880
2021-03-17 12:20:00,521.7,522.15,521.5,521.55,7385
2021-03-17 12:25:00,521.6,521.9,521.25,521.5,6497
2021-03-17 12:30:00,521.5,521.95,521.3,521.5,6978
2021-03-17 12:35:00,521.5,521.95,520.6,521.8,13025
2021-03-17 12:40:00,521.8,521.9,521.0,521.4,11232
2021-03-17 12:45:00,521.5,522.5,521.0,521.35,8617
2021-03-17 12:50:00,521.35,521.6,521.0,521.35,11814
2021-03-17 12:55:00,521.1,522.5,521.05,522.15,11906
2021-03-17 13:00:00,522.1,522.5,521.5,522.2,13523
2021-03-17 13:05:00,522.25,522.85,521.55,521.75,8695
2021-03-17 13:10:00,521.8,522.5,521.75,522.0,9500
2021-03-17 13:15:00,522.15,523.3,522.05,523.1,11163
2021-03-17 13:20:00,523.2,523.4,522.4,522.4,12077
2021-03-17 13:25:00,522.4,523.0,522.05,522.25,7078
2021-03-17 13:30:00,522.5,523.25,522.05,522.45,9954
2021-03-17 13:35:00,522.65,522.8,521.6,521.9,11043
2021-03-17 13:40:00,521.9,522.45,521.1,521.15,15251
2021-03-17 13:45:00,521.15,521.75,521.05,521.15,16539
2021-03-17 13:50:00,521.45,521.45,520.8,521.05,18784
2021-03-17 13:55:00,520.85,521.45,520.8,521.05,18364
2021-03-17 14:00:00,521.1,521.4,520.0,520.0,17820
2021-03-17 14:05:00,520.05,520.4,519.55,519.7,17181
2021-03-17 14:10:00,519.8,520.4,519.6,519.8,19490
2021-03-17 14:15:00,519.9,520.5,519.45,519.5,15889
2021-03-17 14:20:00,519.5,520.2,519.0,519.95,22489
2021-03-17 14:25:00,519.9,520.75,519.8,520.0,20035
2021-03-17 14:30:00,520.15,520.55,519.3,520.0,15944
2021-03-17 14:35:00,520.0,522.35,520.0,522.2,21763
2021-03-17 14:40:00,522.2,522.3,521.6,522.1,14126
2021-03-17 14:45:00,522.15,522.95,522.0,522.0,19641
2021-03-17 14:50:00,522.0,522.3,521.1,521.65,18047
2021-03-17 14:55:00,521.5,522.8,521.05,522.75,21414
2021-03-17 15:00:00,522.7,523.6,522.4,522.8,32442
2021-03-17 15:05:00,522.8,523.35,522.45,522.95,27153
2021-03-17 15:10:00,522.95,523.35,522.4,523.35,38055
2021-03-17 15:15:00,523.15,523.75,522.5,522.5,27808
2021-03-17 15:20:00,522.8,523.45,522.05,522.35,15480
2021-03-17 15:25:00,522.65,523.15,522.0,522.85,23527
2021-03-18 09:15:00,529.0,530.5,527.15,527.5,27504
2021-03-18 09:20:00,527.8,528.9,526.05,526.25,17864
2021-03-18 09:25:00,526.3,527.8,525.85,527.1,14242
2021-03-18 09:30:00,527.15,527.7,526.5,526.5,9534
2021-03-18 09:35:00,526.15,526.75,525.5,525.9,16105
2021-03-18 09:40:00,525.7,526.9,525.5,526.25,11810
2021-03-18 09:45:00,526.1,526.95,525.95,526.0,7310
2021-03-18 09:50:00,526.0,526.15,525.25,525.6,10723
2021-03-18 09:55:00,525.5,525.6,524.15,524.7,12164
2021-03-18 10:00:00,524.85,525.85,524.5,525.5,12627
2021-03-18 10:05:00,525.6,525.9,525.0,525.15,11805
2021-03-18 10:10:00,525.15,525.25,523.7,523.85,15176
2021-03-18 10:15:00,524.15,524.3,523.8,524.15,10414
2021-03-18 10:20:00,524.1,524.3,524.0,524.25,9864
2021-03-18 10:25:00,524.3,525.25,524.15,524.75,11585
2021-03-18 10:30:00,524.8,524.85,523.0,523.05,15405
2021-03-18 10:35:00,523.05,523.4,521.9,522.2,17224
2021-03-18 10:40:00,522.0,523.0,521.8,522.9,9629
2021-03-18 10:45:00,522.6,524.85,522.55,524.6,13987
2021-03-18 10:50:00,524.6,525.8,524.45,525.8,18561
2021-03-18 10:55:00,525.8,526.45,525.0,525.5,12018
2021-03-18 11:00:00,525.4,525.95,525.2,525.65,6008
2021-03-18 11:05:00,525.55,525.8,524.65,524.65,8234
2021-03-18 11:10:00,524.75,525.65,524.6,524.65,5870
2021-03-18 11:15:00,524.75,525.35,523.75,523.9,7641
2021-03-18 11:20:00,524.0,525.4,523.8,525.3,7871
2021-03-18 11:25:00,525.25,525.7,525.0,525.0,4202
2021-03-18 11:30:00,525.25,526.4,525.25,526.1,10751
2021-03-18 11:35:00,526.4,526.4,525.55,526.0,7082
2021-03-18 11:40:00,525.85,526.85,525.8,526.55,9870
2021-03-18 11:45:00,526.6,526.65,526.0,526.2,8456
2021-03-18 11:50:00,526.1,527.25,526.1,526.85,10199
2021-03-18 11:55:00,526.8,527.4,526.5,527.2,11065
2021-03-18 12:00:00,527.25,527.3,526.55,526.85,11286
2021-03-18 12:05:00,526.6,526.85,525.9,525.95,9386
2021-03-18 12:10:00,525.95,526.8,525.5,526.7,7529
2021-03-18 12:15:00,526.7,526.7,525.0,525.6,6923
2021-03-18 12:20:00,525.6,525.85,525.2,525.75,11985
2021-03-18 12:25:00,525.75,525.8,525.0,525.3,6854
2021-03-18 12:30:00,525.05,525.3,524.05,524.35,8723
2021-03-18 12:35:00,524.3,524.95,523.55,524.45,9513
2021-03-18 12:40:00,524.2,524.4,523.55,523.9,10953
2021-03-18 12:45:00,523.75,523.9,523.0,523.3,12036
2021-03-18 12:50:00,523.25,523.35,522.7,523.05,12352
2021-03-18 12:55:00,523.05,523.5,522.55,523.2,11563
2021-03-18 13:00:00,523.25,524.35,523.0,523.4,16529
2021-03-18 13:05:00,523.55,524.5,523.25,524.25,8745
2021-03-18 13:10:00,524.35,524.4,523.0,523.1,8925
2021-03-18 13:15:00,523.1,523.7,521.9,522.0,20095
2021-03-18 13:20:00,522.1,522.1,520.75,521.25,15906
2021-03-18 13:25:00,521.25,521.3,519.6,520.55,15634
2021-03-18 13:30:00,520.5,520.6,518.05,520.2,18390
2021-03-18 13:35:00,520.4,521.4,519.75,520.45,23611
2021-03-18 13:40:00,520.25,521.2,519.85,520.85,11984
2021-03-18 13:45:00,520.85,522.25,520.75,522.15,12813
2021-03-18 13:50:00,522.15,522.7,521.5,521.8,12561
2021-03-18 13:55:00,521.7,521.95,520.0,520.2,9975
2021-03-18 14:00:00,520.1,520.4,519.45,520.1,10340
2021-03-18 14:05:00,520.0,521.9,520.0,520.85,13438
2021-03-18 14:10:00,520.7,521.4,517.9,517.95,12033
2021-03-18 14:15:00,517.85,518.8,517.6,518.35,41402
2021-03-18 14:20:00,518.4,518.7,515.35,518.05,14471
2021-03-18 14:25:00,517.9,518.8,516.95,518.8,12709
2021-03-18 14:30:00,518.8,520.0,518.6,519.3,13995
2021-03-18 14:35:00,519.15,519.85,518.05,519.75,13258
2021-03-18 14:40:00,519.75,519.75,518.0,518.9,18634
2021-03-18 14:45:00,519.0,519.0,517.2,518.25,7993
2021-03-18 14:50:00,518.3,518.95,517.35,517.85,7381
2021-03-18 14:55:00,517.8,518.85,517.55,518.65,13248
2021-03-18 15:00:00,518.65,522.35,518.5,521.85,17006
2021-03-18 15:05:00,521.85,524.65,520.7,524.0,12850
2021-03-18 15:10:00,523.9,528.8,523.9,528.65,14570
2021-03-18 15:15:00,528.9,532.05,528.75,531.25,21360
2021-03-18 15:20:00,531.35,531.35,528.75,529.45,14738
2021-03-18 15:25:00,529.5,531.0,528.85,530.6,17210
2021-03-19 09:15:00,528.5,531.35,525.55,526.35,21364
2021-03-19 09:20:00,526.5,531.2,526.5,528.55,23618
2021-03-19 09:25:00,528.5,528.65,526.4,526.9,19513
2021-03-19 09:30:00,526.95,530.0,526.55,529.7,23412
2021-03-19 09:35:00,529.4,530.0,527.05,528.5,22412
2021-03-19 09:40:00,528.45,530.4,528.2,529.8,23358
2021-03-19 09:45:00,529.6,530.05,527.6,529.8,15741
2021-03-19 09:50:00,529.55,532.45,529.15,532.35,19766
2021-03-19 09:55:00,532.15,534.4,531.4,533.85,18769
2021-03-19 10:00:00,533.85,534.0,531.5,533.5,25671
2021-03-19 10:05:00,533.4,533.9,532.0,532.25,21013
2021-03-19 10:10:00,532.6,533.6,531.3,531.8,21261
2021-03-19 10:15:00,531.8,532.65,529.5,529.5,19110
2021-03-19 10:20:00,529.5,531.4,528.3,531.4,24769
2021-03-19 10:25:00,531.3,532.5,531.2,532.45,24864
2021-03-19 10:30:00,532.5,532.75,530.7,531.85,18249
2021-03-19 10:35:00,531.85,532.4,530.75,532.05,17806
2021-03-19 10:40:00,532.1,532.75,531.5,531.9,19235
2021-03-19 10:45:00,531.75,532.65,530.75,532.55,17859
2021-03-19 10:50:00,532.5,532.75,531.7,532.45,18495
2021-03-19 10:55:00,532.5,532.85,531.3,532.75,24704
2021-03-19 11:00:00,532.75,533.0,531.9,532.05,16083
2021-03-19 11:05:00,532.05,532.65,531.0,531.0,19695
2021-03-19 11:10:00,531.0,532.4,530.25,530.55,15371
2021-03-19 11:15:00,530.55,530.6,528.5,529.1,25772
2021-03-19 11:20:00,529.1,530.9,529.1,530.1,26828
2021-03-19 11:25:00,530.3,531.1,529.15,530.85,22582
2021-03-19 11:30:00,530.85,531.25,530.05,530.4,18126
2021-03-19 11:35:00,530.4,530.5,529.5,530.15,18170
2021-03-19 11:40:00,530.05,531.45,529.7,531.25,18081
2021-03-19 11:45:00,531.25,532.35,530.95,532.25,17661
2021-03-19 11:50:00,532.25,532.7,531.8,532.55,25850
2021-03-19 11:55:00,532.55,532.85,531.8,532.65,18439
2021-03-19 12:00:00,532.7,532.7,531.2,532.15,18542
2021-03-19 12:05:00,532.0,532.5,531.5,531.8,18992
2021-03-19 12:10:00,531.8,532.1,531.6,531.9,24148
2021-03-19 12:15:00,531.85,532.1,531.0,532.0,16765
2021-03-19 12:20:00,532.0,532.5,531.8,532.5,24105
2021-03-19 12:25:00,532.5,532.5,531.6,532.45,21979
2021-03-19 12:30:00,532.45,533.2,532.1,533.1,21973
2021-03-19 12:35:00,533.1,533.9,532.95,533.1,24509
2021-03-19 12:40:00,532.95,533.15,530.9,531.15,27845
2021-03-19 12:45:00,531.05,532.1,531.05,532.0,20855
2021-03-19 12:50:00,532.05,532.7,531.5,532.25,25755
2021-03-19 12:55:00,532.25,532.3,531.1,531.2,25952
2021-03-19 13:00:00,531.2,531.75,531.05,531.7,21270
2021-03-19 13:05:00,531.5,531.55,530.1,530.25,22314
2021-03-19 13:10:00,530.25,531.8,530.25,531.55,26792
2021-03-19 13:15:00,531.65,531.9,531.1,531.1,14886
2021-03-19 13:20:00,531.25,531.65,530.5,531.05,25674
2021-03-19 13:25:00,531.0,531.4,530.25,530.35,25054
2021-03-19 13:30:00,530.25,531.45,529.3,531.25,20525
2021-03-19 13:35:00,531.25,531.4,530.6,531.35,20860
2021-03-19 13:40:00,531.4,531.6,530.05,530.8,29414
2021-03-19 13:45:00,530.9,531.55,530.6,531.25,24468
2021-03-19 13:50:00,531.3,531.9,531.2,531.9,20235
2021-03-19 13:55:00,531.75,533.0,531.3,531.6,27411
2021-03-19 14:00:00,531.5,532.0,530.85,531.45,27130
2021-03-19 14:05:00,531.45,531.8,530.9,531.6,22937
2021-03-19 14:10:00,531.8,531.95,531.0,531.3,25243
2021-03-19 14:15:00,531.4,531.85,530.1,530.6,24520
2021-03-19 14:20:00,530.6,530.9,530.45,530.7,19177
2021-03-19 14:25:00,530.7,530.8,530.2,530.55,17720
2021-03-19 14:30:00,530.65,531.7,530.45,531.6,23876
2021-03-19 14:35:00,531.45,531.6,530.65,531.25,18186
2021-03-19 14:40:00,531.3,531.6,530.85,531.4,22884
2021-03-19 14:45:00,531.4,531.6,530.75,531.25,40970
2021-03-19 14:50:00,531.3,531.75,529.9,530.65,28920
2021-03-19 14:55:00,530.5,530.7,529.15,529.6,27236
2021-03-19 15:00:00,529.55,529.65,526.1,528.6,147797
2021-03-19 15:05:00,528.65,529.6,527.65,529.4,166219
2021-03-19 15:10:00,529.4,531.7,529.1,531.65,204525
2021-03-19 15:15:00,531.65,532.1,528.6,529.8,194841
2021-03-19 15:20:00,529.85,531.9,529.4,530.15,144993
2021-03-19 15:25:00,530.05,534.75,528.15,531.95,113051
2021-03-22 09:15:00,533.2,533.7,528.1,529.6,21261
2021-03-22 09:20:00,529.75,530.0,528.1,528.4,18063
2021-03-22 09:25:00,528.3,528.55,526.5,527.4,18830
2021-03-22 09:30:00,527.7,528.55,527.4,527.85,14602
2021-03-22 09:35:00,527.85,528.0,525.95,527.05,17069
2021-03-22 09:40:00,527.15,532.0,527.1,530.35,19458
2021-03-22 09:45:00,530.5,532.75,529.6,531.35,32846
2021-03-22 09:50:00,531.35,533.25,529.55,529.8,15288
2021-03-22 09:55:00,529.8,529.95,528.3,528.3,22199
2021-03-22 10:00:00,528.5,528.5,527.35,527.85,15160
2021-03-22 10:05:00,528.0,529.5,527.8,529.5,17524
2021-03-22 10:10:00,529.3,529.85,529.3,529.5,12953
2021-03-22 10:15:00,529.5,530.4,528.7,529.55,8422
2021-03-22 10:20:00,529.35,529.45,528.4,528.85,12782
2021-03-22 10:25:00,528.7,528.85,528.25,528.45,10043
2021-03-22 10:30:00,528.45,528.55,527.65,527.9,10175
2021-03-22 10:35:00,528.25,529.4,527.9,529.25,8874
2021-03-22 10:40:00,529.25,529.25,528.1,528.55,9629
2021-03-22 10:45:00,528.6,528.7,527.55,527.55,10641
2021-03-22 10:50:00,527.6,527.75,527.15,527.55,11044
2021-03-22 10:55:00,527.6,527.95,527.3,527.5,6965
2021-03-22 11:00:00,527.5,527.55,526.75,526.75,22854
2021-03-22 11:05:00,526.9,528.5,526.45,528.05,7275
2021-03-22 11:10:00,528.0,528.2,527.6,528.05,5956
2021-03-22 11:15:00,528.0,528.3,527.05,527.6,10148
2021-03-22 11:20:00,527.6,528.0,526.65,526.95,7474
2021-03-22 11:25:00,526.6,527.1,526.5,527.0,12652
2021-03-22 11:30:00,527.05,527.1,526.05,526.45,10218
2021-03-22 11:35:00,526.45,527.55,526.4,526.7,7431
2021-03-22 11:40:00,526.75,527.15,526.65,526.8,4421
