Date,Open,High,Low,Close,Volume
2021-03-17 09:15:00,101.25,101.25,100.4,100.9,77272
2021-03-17 09:20:00,100.9,100.95,100.15,100.25,31791
2021-03-17 09:25:00,100.25,100.35,99.7,99.8,51507
2021-03-17 09:30:00,99.75,99.85,99.55,99.75,29132
2021-03-17 09:35:00,99.8,99.8,99.5,99.7,42104
2021-03-17 09:40:00,99.7,99.75,99.4,99.45,24768
2021-03-17 09:45:00,99.45,99.5,99.1,99.25,33210
2021-03-17 09:50:00,99.25,99.25,99.0,99.2,30680
2021-03-17 09:55:00,99.15,99.4,99.0,99.4,26707
2021-03-17 10:00:00,99.35,99.55,99.2,99.35,42924
2021-03-17 10:05:00,99.25,99.4,99.25,99.35,41270
2021-03-17 10:10:00,99.35,99.35,99.05,99.1,27068
2021-03-17 10:15:00,99.05,99.15,98.8,99.0,48144
2021-03-17 10:20:00,99.05,99.05,98.95,99.05,20722
2021-03-17 10:25:00,99.05,99.1,98.85,99.1,45191
2021-03-17 10:30:00,99.05,99.25,98.9,98.95,29953
2021-03-17 10:35:00,98.9,99.1,98.9,99.0,43328
2021-03-17 10:40:00,99.0,99.05,98.9,99.0,43106
2021-03-17 10:45:00,99.0,99.0,98.85,98.95,20584
2021-03-17 10:50:00,98.9,99.0,98.9,99.0,27690
2021-03-17 10:55:00,99.0,99.05,98.85,98.95,15199
2021-03-17 11:00:00,98.9,98.95,98.8,98.85,56583
2021-03-17 11:05:00,98.85,98.85,98.6,98.7,40300
2021-03-17 11:10:00,98.6,98.95,98.6,98.9,24158
2021-03-17 11:15:00,98.85,99.05,98.85,99.0,24492
2021-03-17 11:20:00,99.0,99.15,98.95,99.05,16538
2021-03-17 11:25:00,99.0,99.1,99.0,99.05,22681
2021-03-17 11:30:00,99.05,99.1,99.0,99.1,89280
2021-03-17 11:35:00,99.1,99.15,99.05,99.05,39864
2021-03-17 11:40:00,99.1,99.1,99.0,99.05,24172
2021-03-17 11:45:00,99.05,99.1,99.0,99.05,29209
2021-03-17 11:50:00,99.1,99.15,99.05,99.1,14871
2021-03-17 11:55:00,99.05,99.15,99.0,99.05,12360
2021-03-17 12:00:00,99.05,99.1,98.85,98.9,25119
2021-03-17 12:05:00,98.85,98.9,98.8,98.8,17642
2021-03-17 12:10:00,98.85,99.05,98.8,99.0,22705
2021-03-17 12:15:00,98.95,99.0,98.75,98.75,20954
2021-03-17 12:20:00,98.8,98.85,98.65,98.8,42551
2021-03-17 12:25:00,98.8,98.9,98.7,98.8,23685
2021-03-17 12:30:00,98.8,98.85,98.75,98.75,29320
2021-03-17 12:35:00,98.75,98.85,98.6,98.7,16488
2021-03-17 12:40:00,98.7,98.75,98.55,98.6,22023
2021-03-17 12:45:00,98.65,98.7,98.5,98.55,25724
2021-03-17 12:50:00,98.6,98.65,98.55,98.65,20434
2021-03-17 12:55:00,98.6,98.8,98.6,98.75,38676
2021-03-17 13:00:00,98.75,98.8,98.65,98.7,22732
2021-03-17 13:05:00,98.75,98.8,98.65,98.7,26800
2021-03-17 13:10:00,98.8,98.8,98.7,98.75,17836
2021-03-17 13:15:00,98.7,98.95,98.7,98.9,24462
2021-03-17 13:20:00,98.9,98.95,98.8,98.85,14078
2021-03-17 13:25:00,98.9,98.9,98.8,98.85,22927
2021-03-17 13:30:00,98.85,98.95,98.8,98.9,32619
2021-03-17 13:35:00,98.9,99.0,98.85,98.95,44484
2021-03-17 13:40:00,98.95,99.0,98.8,98.85,33886
2021-03-17 13:45:00,98.85,98.85,98.65,98.75,14697
2021-03-17 13:50:00,98.7,98.75,98.6,98.75,21798
2021-03-17 13:55:00,98.75,98.8,98.7,98.75,14998
2021-03-17 14:00:00,98.75,98.75,98.65,98.7,25110
2021-03-17 14:05:00,98.7,98.7,98.5,98.6,37867
2021-03-17 14:10:00,98.7,98.7,98.5,98.55,37841
2021-03-17 14:15:00,98.6,98.7,98.5,98.5,38305
2021-03-17 14:20:00,98.55,98.6,98.5,98.55,40532
2021-03-17 14:25:00,98.55,98.75,98.55,98.65,27973
2021-03-17 14:30:00,98.7,98.7,98.5,98.6,36000
2021-03-17 14:35:00,98.6,98.7,98.55,98.6,31027
2021-03-17 14:40:00,98.6,98.7,98.55,98.65,27276
2021-03-17 14:45:00,98.7,98.75,98.6,98.7,24486
2021-03-17 14:50:00,98.7,98.75,98.65,98.75,49721
2021-03-17 14:55:00,98.75,98.75,98.6,98.7,23976
2021-03-17 15:00:00,98.65,98.75,98.35,98.35,55490
2021-03-17 15:05:00,98.4,98.4,98.1,98.15,46771
2021-03-17 15:10:00,98.15,98.2,98.05,98.15,40507
2021-03-17 15:15:00,98.1,98.3,98.0,98.15,29406
2021-03-17 15:20:00,98.1,98.25,98.0,98.0,23492
2021-03-17 15:25:00,98.0,98.1,98.0,98.1,16625
2021-03-18 09:15:00,98.8,99.45,98.75,99.1,15145
2021-03-18 09:20:00,99.15,99.35,98.6,98.65,40724
2021-03-18 09:25:00,98.65,98.8,98.3,98.5,20690
2021-03-18 09:30:00,98.55,98.95,98.5,98.75,21409
2021-03-18 09:35:00,98.8,98.8,98.5,98.6,15256
2021-03-18 09:40:00,98.65,98.8,98.55,98.8,12851
2021-03-18 09:45:00,98.8,98.8,98.3,98.45,21652
2021-03-18 09:50:00,98.45,98.5,98.35,98.45,14297
2021-03-18 09:55:00,98.4,98.65,98.2,98.4,15604
2021-03-18 10:00:00,98.35,98.35,98.1,98.15,20006
2021-03-18 10:05:00,98.2,98.45,98.15,98.4,11683
2021-03-18 10:10:00,98.4,98.4,98.0,98.15,27308
2021-03-18 10:15:00,98.1,98.2,97.7,97.7,24498
2021-03-18 10:20:00,97.75,97.95,97.7,97.95,34609
2021-03-18 10:25:00,97.95,98.15,97.8,98.1,19158
2021-03-18 10:30:00,98.05,98.05,97.75,97.8,18973
2021-03-18 10:35:00,97.8,97.8,97.65,97.75,14281
2021-03-18 10:40:00,97.75,97.75,97.5,97.6,13376
2021-03-18 10:45:00,97.6,98.0,97.55,97.85,19540
2021-03-18 10:50:00,97.75,97.95,97.75,97.8,18385
2021-03-18 10:55:00,97.75,97.8,97.6,97.75,21402
2021-03-18 11:00:00,97.75,97.9,97.7,97.85,14909
2021-03-18 11:05:00,97.8,97.85,97.7,97.7,11961
2021-03-18 11:10:00,97.7,97.8,97.65,97.7,23361
2021-03-18 11:15:00,97.7,97.85,97.65,97.7,15443
