Date,Open,High,Low,Close,Volume
2021-03-17 09:15:00,724.95,725.35,720.15,721.2,22067
2021-03-17 09:20:00,721.1,725.95,720.55,723.0,18623
2021-03-17 09:25:00,723.15,724.5,721.35,723.85,20607
2021-03-17 09:30:00,723.95,724.0,721.5,721.7,18759
2021-03-17 09:35:00,721.55,722.0,720.0,721.95,15462
2021-03-17 09:40:00,722.0,722.0,720.25,721.45,14063
2021-03-17 09:45:00,721.45,722.5,721.0,721.0,14751
2021-03-17 09:50:00,721.05,721.05,719.3,719.4,17620
2021-03-17 09:55:00,719.45,719.55,718.0,718.1,23157
2021-03-17 10:00:00,718.1,719.9,717.6,719.85,17739
2021-03-17 10:05:00,719.9,722.0,719.5,721.65,16356
2021-03-17 10:10:00,721.45,721.75,718.2,718.4,17039
2021-03-17 10:15:00,718.45,719.9,717.3,719.8,27525
2021-03-17 10:20:00,719.8,721.25,719.0,719.0,14392
2021-03-17 10:25:00,719.2,720.5,718.55,719.9,20573
2021-03-17 10:30:00,719.85,720.5,719.0,719.15,11689
2021-03-17 10:35:00,719.2,720.0,719.2,719.55,10119
2021-03-17 10:40:00,719.5,719.7,718.1,718.6,12521
2021-03-17 10:45:00,718.65,719.25,718.1,719.05,13097
2021-03-17 10:50:00,719.2,719.4,718.55,719.05,6547
2021-03-17 10:55:00,719.15,719.3,716.4,717.0,13650
2021-03-17 11:00:00,717.0,717.9,716.8,716.8,16687
2021-03-17 11:05:00,716.8,717.05,714.45,716.0,11565
2021-03-17 11:10:00,715.95,716.5,715.35,715.9,9672
2021-03-17 11:15:00,716.35,717.5,715.8,717.0,12663
2021-03-17 11:20:00,716.75,718.85,716.7,717.25,14474
2021-03-17 11:25:00,717.5,719.7,717.15,719.1,13712
2021-03-17 11:30:00,719.2,720.0,719.1,719.6,21100
2021-03-17 11:35:00,719.45,719.5,718.4,719.05,11243
2021-03-17 11:40:00,718.95,719.15,718.25,718.4,9294
2021-03-17 11:45:00,718.45,719.0,718.25,718.5,9371
2021-03-17 11:50:00,718.5,719.0,716.9,717.05,18754
2021-03-17 11:55:00,717.1,717.7,715.65,715.65,14853
2021-03-17 12:00:00,715.9,716.25,714.0,714.75,17600
2021-03-17 12:05:00,714.8,714.8,713.25,713.5,17634
2021-03-17 12:10:00,713.7,713.8,712.25,713.0,16525
2021-03-17 12:15:00,713.0,714.0,711.05,711.55,16603
2021-03-17 12:20:00,711.65,712.55,711.45,711.7,17236
