Date,Open,High,Low,Close,Volume
2018-09-24,28715.55,28715.55,27824.175,27908.675,773960
2018-09-25,26399.05,26899.65,26163.675,26808.475,361640
2018-09-26,26983.95,27026.1,26694.15,26854.175,345440
2018-09-27,26836.475,26939.475,26488.65,26555.875,539160
2018-09-28,26667.95,26903.7,26403.175,26572.625,813000
2018-10-01,26283.15,26936.525,26251.775,26882.625,436200
2018-10-03,26776.35,26954.45,26462.3,26518.825,762400
2018-10-04,26103.875,26311.6,25945.95,26201.15,829520
2018-10-05,26103.925,26490.525,25582.475,25840.2,744840
2018-10-08,25761.175,26153.3,25596.925,26043.55,750080
2018-10-09,26095.975,26175.075,25829.975,25886.35,664640
2018-10-10,25945.95,26727.025,25912.075,26668.325,843560
2018-10-11,25977.525,26342.85,25878.675,26164.475,819640
2018-10-12,26396.375,26888.0,26396.375,26775.225,692360
2018-10-15,26732.875,26814.275,26504.45,26732.35,654360
2018-10-16,26766.85,27087.225,26699.25,27002.4,654040
2018-10-17,27266.55,27280.025,26441.1,26533.425,772480
2018-10-19,26320.025,26679.975,26270.175,26427.25,729360
2018-10-22,26742.35,26799.05,26311.375,26379.3,690560
2018-10-23,26115.6,26409.125,26115.275,26317.9,230200
2018-10-24,26633.25,26643.6,26182.375,26427.075,315680
2018-10-25,26187.625,26313.825,26025.1,26164.4,532280
2018-10-26,26082.725,26097.4,25630.85,25692.125,471260
2018-10-29,25846.325,26307.15,25661.05,26259.15,487160
2018-10-30,26207.225,26436.875,25969.95,26122.5,456040
2018-10-31,26159.675,26482.9,25820.625,26432.35,534840
2018-11-01,26475.875,26685.65,26405.725,26609.875,494860
2018-11-02,26788.45,27146.95,26773.35,27000.675,501520
2018-11-05,26951.025,27126.7,26816.75,27058.775,410040
2018-11-06,27105.1,27190.775,26871.45,26930.225,455320
2018-11-09,26968.85,27136.35,26877.725,27103.85,367260
2018-11-12,27121.3,27228.325,26813.3,26842.45,406960
2018-11-13,26764.175,27110.45,26664.725,27084.925,476160
2018-11-14,27220.5,27346.075,27066.85,27242.95,516100
2018-11-15,27216.1,27529.2,27163.3,27467.7,475680
2018-11-16,27524.525,27612.3,27415.375,27528.625,473400
2018-11-19,27603.175,27669.975,27490.6,27596.875,391680
2018-11-20,27518.825,27537.95,27347.425,27427.95,422300
2018-11-21,27393.925,27691.3,27377.8,27610.825,472540
2018-11-22,27578.125,27618.125,27217.2,27266.0,474820
2018-11-26,27318.125,27666.1,27291.65,27643.8,466560
2018-11-27,27593.45,27732.125,27514.125,27704.975,144540
2018-11-28,27742.775,27814.65,27639.15,27675.35,225280
2018-11-29,27828.85,28139.475,27784.35,28098.7,412580
2018-11-30,28181.225,28237.15,28036.075,28116.975,414840
2018-12-03,28220.025,28263.375,28083.225,28160.8,363260
2018-12-04,28118.45,28123.5,27942.9,28007.15,378160
2018-12-05,27899.3,27929.475,27748.775,27830.1,392900
2018-12-06,27671.475,27671.475,27405.975,27454.95,443360
2018-12-07,27534.7,27924.675,27509.275,27847.025,422520
2018-12-10,27470.375,27606.0,27349.3,27378.025,373900
2018-12-11,26974.9,27464.1,26851.85,27399.025,496440
2018-12-12,27533.65,27971.775,27468.375,27949.7,426200
2018-12-13,28076.35,28223.525,27978.375,28080.0,426120
2018-12-14,28046.825,28147.85,27961.925,28076.65,356560
2018-12-17,28165.6,28327.875,28161.475,28297.2,345640
2018-12-18,28196.3,28489.4,28136.675,28466.325,373240
2018-12-19,28568.775,28646.075,28486.275,28576.25,372560
2018-12-20,28421.6,28588.625,28366.3,28557.825,411120
2018-12-21,28515.525,28618.925,28088.35,28142.3,448900
2018-12-24,28123.825,28182.825,27932.675,27984.05,348240
2018-12-26,27875.275,28291.325,27656.775,28245.375,278700
2018-12-27,28426.8,28474.4,28095.175,28125.525,357100
2018-12-28,28249.8,28453.9,28241.7,28383.725,355760
2018-12-31,28515.2,28619.925,28345.75,28619.925,296600
2019-01-02,28510.15,28635.575,28281.375,28373.15,431420
