Date,Open,High,Low,Close,Volume
2019-07-29,359.225,364.65,358.3,362.35,27000
2019-07-30,362.35,362.35,344.5,346.075,33000
2019-07-31,345.025,351.375,345.025,350.6,30000
2019-08-01,348.3,349.025,330.975,335.025,93000
2019-08-02,331.6,339.05,325.35,326.025,177000
2019-08-05,313.9,320.05,310.15,317.8,177000
2019-08-06,319.275,320.625,315.35,318.475,63000
2019-08-07,318.125,318.125,305.375,306.35,111000
2019-08-08,306.525,311.975,301.825,310.725,162000
2019-08-09,311.2,313.475,305.525,306.675,75000
2019-08-13,305.475,306.825,298.3,298.75,126000
2019-08-14,300.525,306.0,300.175,303.9,87000
2019-08-16,301.825,307.55,300.275,306.05,81000
2019-08-19,305.625,305.625,301.1,301.1,69000
2019-08-20,301.2,301.2,295.075,298.55,174000
2019-08-21,298.925,299.175,291.05,291.85,177000
2019-08-22,290.85,291.575,280.5,281.275,192000
2019-08-23,277.325,288.675,276.6,284.975,225000
2019-08-26,295.425,295.575,283.725,293.55,510000
2019-08-27,298.25,301.25,296.1,299.7,348000
2019-08-28,297.925,299.7,295.625,298.45,249000
2019-08-29,296.625,297.625,287.1,288.25,813000
2019-08-30,289.65,290.9,279.4,286.225,2067000
2019-09-03,282.9,284.075,280.125,280.5,786000
2019-09-04,280.275,288.6,280.275,288.2,1101000
2019-09-05,285.9,289.025,283.775,286.275,993000
2019-09-06,288.35,290.125,285.175,287.25,600000
2019-09-09,284.125,291.675,284.125,290.75,576000
2019-09-11,292.525,298.65,292.525,298.3,864000
2019-09-12,300.425,301.425,297.15,299.75,894000
2019-09-13,298.075,305.475,294.45,304.9,1797000
2019-09-16,301.825,303.35,296.95,297.975,1746000
2019-09-17,297.25,299.225,285.8,286.575,2415000
2019-09-18,287.575,296.0,287.475,293.025,3078000
2019-09-19,291.525,292.35,285.7,286.75,3777000
2019-09-20,286.75,321.25,281.025,315.1,14814000
2019-09-23,321.075,327.8,313.8,326.5,13722000
2019-09-24,325.825,328.775,315.475,316.825,15597000
2019-09-25,311.775,311.775,292.525,294.075,22707000
2019-09-26,294.65,303.85,290.375,295.575,29388000
2019-09-27,296.625,299.5,293.025,294.85,25491000
2019-09-30,293.825,294.275,283.4,283.975,27141000
2019-10-01,286.125,288.5,256.825,267.7,39009000
2019-10-03,265.4,272.9,261.45,266.225,29622000
2019-10-04,269.575,272.125,259.625,261.025,34869000
2019-10-07,262.075,264.625,257.85,260.05,24627000
2019-10-09,260.975,273.3,255.2,272.425,33855000
2019-10-10,267.325,268.675,263.425,264.975,23442000
